time,%CPUse
0,0.0
1,0.0
2,29.9
3,35.6
4,46.4
5,46.3
6,51.2
7,46.7
8,46.7
9,44.0
10,47.4
11,44.8
12,48.8
13,43.7
14,48.4
15,43.9
16,42.6
17,41.7
18,48.9
19,49.7
20,42.6
21,43.2
22,46.6
23,44.7
24,43.5
25,48.1
26,47.6
27,45.9
28,48.5
29,44.0
30,47.0
31,41.2
32,48.9
33,44.3
34,44.7
35,42.8
36,45.9
37,42.5
38,45.9
39,40.6
40,47.5
41,42.9
42,47.3
43,41.8
44,48.4
45,44.3
46,46.2
47,44.3
48,45.0
49,47.0
50,45.2
51,47.8
52,48.1
53,43.8
54,48.2
55,46.3
56,41.9
57,28.6
58,24.3
59,7.6
60,6.9
61,2.8
62,6.7
63,8.5
