time,%CPUse
0,0.0
1,0.0
2,34.2
3,35.2
4,50.1
5,58.4
6,68.4
7,77.6
8,88.5
9,84.1
10,78.2
11,91.3
12,78.1
13,92.0
14,88.2
15,87.5
16,82.1
17,71.2
18,84.0
19,86.6
20,88.4
21,75.9
22,86.2
23,78.7
24,78.1
25,89.0
26,86.9
27,73.4
28,85.7
29,86.7
30,91.7
31,87.6
32,87.7
33,85.3
34,88.2
35,89.4
36,83.6
37,80.4
38,78.8
39,79.6
40,80.0
41,81.7
42,88.0
43,85.3
44,74.3
45,84.3
46,81.0
47,90.4
48,80.6
49,77.0
50,85.1
51,76.1
52,85.5
53,75.8
54,85.3
55,86.0
56,79.5
57,86.4
58,85.9
59,79.4
60,82.1
61,87.7
62,74.7
63,88.1
64,84.5
65,80.0
66,78.4
67,93.1
68,80.4
69,76.1
70,79.6
71,86.4
72,83.3
73,77.0
74,77.8
75,86.9
76,86.3
77,88.4
78,82.1
79,84.0
80,78.9
81,83.6
82,78.8
83,82.0
84,81.0
85,86.7
86,82.2
87,75.7
88,85.1
89,81.0
90,77.3
91,83.6
92,78.8
93,85.3
94,81.7
95,79.9
96,79.6
97,78.7
98,85.8
99,82.6
100,85.1
101,81.3
102,82.1
103,81.7
104,80.3
105,82.1
106,78.9
107,84.9
108,81.4
109,84.2
110,85.4
111,76.7
112,77.2
113,80.9
114,85.7
115,83.5
116,86.0
117,83.5
118,79.4
119,84.9
120,84.3
121,81.5
122,80.6
123,85.5
124,82.5
125,78.5
126,82.5
127,82.7
128,80.8
129,79.6
130,79.4
131,83.9
132,87.2
133,81.4
134,79.3
135,85.7
136,80.4
137,81.5
138,74.2
139,79.1
140,83.4
141,77.2
142,86.1
143,86.8
144,88.5
145,85.6
146,87.7
147,83.7
148,85.9
149,83.5
150,82.9
151,80.8
152,83.3
153,86.7
154,85.1
155,82.7
156,84.1
157,79.5
158,80.2
159,81.3
160,80.1
161,78.4
162,80.4
163,82.6
164,80.6
165,82.1
166,81.0
167,87.2
168,83.2
169,70.1
170,70.8
171,70.4
172,56.6
173,53.3
174,38.5
175,30.1
176,8.6
