time,%CPUse
0,0.0
1,0.0
2,29.6
3,38.4
4,48.9
5,56.0
6,71.6
7,73.1
8,91.0
9,87.6
10,85.2
11,83.2
12,84.6
13,87.9
14,85.0
15,88.7
16,81.6
17,81.4
18,84.5
19,82.4
20,91.8
21,86.9
22,88.7
23,82.2
24,90.0
25,90.5
26,86.1
27,81.5
28,80.5
29,89.6
30,91.9
31,86.4
32,90.9
33,90.7
34,83.3
35,86.3
36,79.9
37,83.8
38,88.7
39,85.7
40,88.4
41,80.6
42,89.2
43,84.5
44,87.6
45,80.9
46,83.3
47,88.2
48,91.3
49,88.6
50,88.1
51,84.8
52,86.4
53,86.0
54,84.4
55,84.1
56,86.2
57,81.6
58,85.9
59,86.3
60,84.7
61,86.6
62,84.3
63,84.2
64,88.8
65,90.0
66,85.8
67,82.9
68,88.3
69,77.1
70,85.9
71,87.0
72,83.2
73,81.5
74,89.8
75,90.5
76,84.4
77,86.3
78,93.1
79,83.2
80,90.2
81,95.3
82,97.8
83,72.9
84,86.4
85,89.6
86,90.5
87,81.0
88,86.8
89,87.4
90,85.0
91,80.2
92,85.9
93,79.1
94,87.5
95,92.2
96,88.4
97,84.0
98,93.5
99,91.1
100,79.9
101,90.0
102,87.6
103,89.4
104,88.6
105,80.5
106,87.7
107,79.4
108,84.6
109,89.0
110,88.2
111,81.9
112,87.6
113,78.1
114,90.2
115,75.7
116,78.3
117,89.0
118,92.3
119,87.7
120,82.6
121,90.9
122,87.3
123,87.4
124,83.1
125,87.7
126,83.2
127,83.5
128,85.1
129,87.8
130,81.8
131,88.8
132,90.0
133,83.7
134,89.6
135,90.6
136,89.0
137,92.1
138,87.5
139,72.8
140,85.7
141,83.4
142,87.9
143,91.1
144,85.5
145,80.9
146,81.0
147,81.3
148,87.0
149,88.6
150,81.1
151,82.5
152,84.2
153,81.5
154,88.8
155,95.2
156,87.0
157,90.8
158,87.5
159,78.9
160,87.2
161,87.0
162,75.7
163,82.4
164,71.1
165,84.9
166,84.0
167,80.3
168,71.8
169,90.0
170,86.5
171,89.1
172,86.9
173,85.3
174,92.9
175,78.9
176,80.0
177,85.7
178,83.7
179,88.7
180,89.7
181,93.1
182,89.7
183,92.9
184,87.6
185,87.4
186,85.1
187,77.6
188,83.1
189,90.0
190,93.3
191,87.4
192,85.0
193,86.8
194,83.8
195,83.3
196,81.2
197,90.2
198,88.0
199,79.5
200,75.0
201,79.1
202,85.9
203,88.8
204,88.2
205,85.4
206,79.8
207,91.7
208,88.5
209,83.3
210,92.1
211,85.8
212,89.2
213,90.9
214,90.0
215,85.7
216,84.8
217,88.9
218,88.4
219,86.6
220,96.6
221,88.9
222,80.3
223,87.9
224,84.3
225,82.7
226,87.8
227,89.0
228,81.6
229,82.1
230,88.6
231,80.1
232,94.7
233,79.1
234,82.8
235,86.4
236,83.2
237,92.5
238,90.6
239,81.9
240,77.8
241,88.2
242,93.3
243,87.3
244,80.2
245,86.7
246,85.0
247,90.5
248,83.9
249,89.6
250,93.1
251,88.3
252,82.4
253,86.6
254,89.0
255,88.0
256,84.7
257,88.9
258,86.0
259,80.4
260,81.9
261,88.7
262,91.5
263,89.2
264,78.4
265,83.3
266,84.3
267,83.8
268,88.3
269,84.5
270,78.2
271,89.6
272,85.4
273,88.9
274,84.4
275,84.9
276,90.3
277,87.1
278,82.2
279,85.1
280,84.5
281,85.5
282,77.4
283,80.8
284,82.6
285,90.0
286,90.3
287,80.8
288,87.7
289,85.0
290,88.9
291,84.4
292,84.5
293,91.7
294,85.5
295,80.3
296,88.9
297,86.4
298,84.4
299,86.0
300,91.1
301,92.4
302,82.9
303,91.4
304,87.6
305,81.4
306,86.6
307,88.6
308,84.2
309,88.4
310,87.2
311,82.7
312,94.6
313,83.1
314,85.5
315,92.8
316,93.9
317,79.2
318,87.0
319,81.0
320,94.1
321,84.1
322,87.8
323,87.8
324,88.2
325,89.0
326,90.4
327,93.3
328,80.8
329,90.7
330,80.5
331,85.3
332,85.8
333,90.0
334,87.6
335,85.3
336,84.0
337,89.2
338,91.6
339,83.2
340,90.6
341,78.7
342,84.3
343,80.7
344,93.5
345,93.1
346,88.7
347,91.9
348,92.3
349,75.8
350,90.5
351,81.6
352,93.5
353,94.3
354,87.8
355,94.5
356,93.1
357,86.8
358,80.7
359,90.8
360,83.3
361,84.0
362,86.0
363,88.1
364,87.4
365,89.9
366,84.9
367,86.4
368,90.5
369,74.2
370,73.7
371,88.5
372,85.0
373,84.1
374,81.3
375,88.2
376,87.7
377,94.7
378,83.7
379,84.0
380,85.8
381,82.9
382,82.6
383,94.1
384,84.7
385,88.2
386,83.3
387,85.7
388,87.2
389,79.6
390,71.6
391,64.9
392,68.8
393,58.7
394,27.7
395,19.5
396,13.5
397,5.4
398,8.2
399,9.4
400,12.0
401,4.7
